item_no,importance_col,performance_col,item_text,importance_mean,performance_mean,gap_perf_minus_imp,quadrant
1,66,76,①丰富的中医药文化展示和非遗体验项目,3.7367773677736777,3.724477244772448,-0.012300123001229846,Q4_可能过度投入
2,67,77,②环境舒适度与卫生状况,3.7392373923739237,3.6728167281672817,-0.06642066420664205,Q2_优先改进
3,68,78,③便捷的交通、充足的停车位,3.715867158671587,3.6432964329643296,-0.0725707257072572,Q3_低优先级
4,69,79,④亲友推荐/正面评价多,3.6961869618696186,3.713407134071341,0.017220172201722228,Q4_可能过度投入
5,70,80,⑤特色美食、文创产品的种类及品质,3.742927429274293,3.5731857318573184,-0.16974169741697454,Q2_优先改进
6,71,81,⑥提供个性化中医体质辨识、养生咨询等服务,3.761377613776138,3.7035670356703565,-0.057810578105781385,Q1_保持优势
7,72,82,⑦服务专业度与态度,3.8265682656826567,3.7207872078720787,-0.105781057810578,Q1_保持优势
8,73,83,⑧产品价格与优惠力度,3.7170971709717096,3.6961869618696186,-0.02091020910209096,Q4_可能过度投入
9,74,84,⑨中医药服务专业度,3.772447724477245,3.6961869618696186,-0.07626076260762638,Q1_保持优势
10,75,85,⑩线上线下宣传推广,3.6814268142681428,3.7466174661746616,0.06519065190651885,Q4_可能过度投入
