respondent_id,quality_profile,duration_lt90_flag,severe_straightline_flag,attention_conditional_flag,logic_branch_flag,key_missing_flag,open_gibberish_flag,duplicate_flag,invalid_union_flag,duration_sec,q8_text,q14_text,q15_text,attention_text,ip,open_text
2,balanced_v20260221,1,1,1,0,0,0,0,1,66.0,否,(跳过),对中医药文化、非遗项目兴趣不大,不一定,111.55.102.127(湖南-郴州),无
3,balanced_v20260221,0,0,0,0,0,1,0,1,185.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大┋没有合适的时间┋认为街区缺乏吸引力┋担心体验感不佳（如项目单一、服务差等）,完全不同意,111.60.90.109(湖北-武汉),/
4,balanced_v20260221,0,1,1,0,0,0,0,1,123.0,否,(跳过),其他,同意,27.20.26.4(湖北-荆州),暂无
9,balanced_v20260221,0,1,1,0,0,0,0,1,179.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大┋消费预算考虑,同意,223.104.119.66(湖北-咸宁),包装时尚价格适中具有药效口感亲人
10,balanced_v20260221,1,1,1,0,0,0,0,1,78.0,否,(跳过),距离较远、交通不便,不一定,106.119.31.12(河北-唐山),无
11,balanced_v20260221,1,1,0,0,0,0,0,1,73.0,是,无（未遇到任何问题）,(跳过),完全不同意,111.182.93.189(湖北-荆门),无
13,balanced_v20260221,0,1,1,0,0,0,0,1,140.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,101.24.121.203(河北-石家庄),无
14,balanced_v20260221,1,0,0,0,0,0,0,1,86.0,否,(跳过),对中医药文化、非遗项目兴趣不大┋距离较远、交通不便,完全不同意,124.64.121.219(北京-北京),无
15,balanced_v20260221,0,1,1,0,0,0,0,1,110.0,否,(跳过),不够了解街区特色 / 首次听说,同意,223.91.116.48(河南-南阳),无
16,balanced_v20260221,0,1,1,0,0,0,0,1,107.0,是,工作人员专业度不足（不熟悉中医药知识、服务态度一般）,(跳过),完全同意,113.120.72.27(山东-青岛),无
17,balanced_v20260221,1,1,1,0,0,1,0,1,77.0,否,(跳过),不够了解街区特色 / 首次听说┋距离较远、交通不便,同意,49.112.61.134(新疆-伊犁),嗯呢
20,balanced_v20260221,1,1,1,0,0,0,0,1,67.0,否,(跳过),不够了解街区特色 / 首次听说┋距离较远、交通不便,不一定,220.197.230.33(云南-昆明),无
25,balanced_v20260221,0,1,1,0,0,0,0,1,133.0,否,(跳过),不够了解街区特色 / 首次听说┋距离较远、交通不便,同意,112.97.186.80(广东-东莞),便宜 符合学生消费水平
26,balanced_v20260221,1,0,0,0,0,0,0,1,73.0,否,(跳过),对中医药文化、非遗项目兴趣不大┋距离较远、交通不便,完全不同意,223.102.100.108(辽宁-鞍山),希望价格更实惠
29,balanced_v20260221,0,1,1,0,0,0,0,1,93.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,123.168.221.172(山东-潍坊),无
30,balanced_v20260221,1,0,1,0,0,0,0,1,80.0,否,(跳过),对中医药文化、非遗项目兴趣不大┋没有合适的时间,不一定,223.104.123.121(湖北-宜昌),无
31,balanced_v20260221,0,1,1,0,0,0,0,1,94.0,否,(跳过),距离较远、交通不便┋消费预算考虑,同意,61.242.133.96(湖北-宜昌),无
32,balanced_v20260221,0,1,1,0,0,0,0,1,94.0,是,无（未遇到任何问题）,(跳过),完全同意,221.192.127.182(河北-唐山),无
33,balanced_v20260221,0,0,1,0,0,0,0,1,97.0,否,(跳过),不够了解街区特色 / 首次听说┋认为街区缺乏吸引力┋已有替代目的地,同意,223.104.123.214(湖北-宜昌),无
35,balanced_v20260221,0,1,1,0,0,0,0,1,91.0,否,(跳过),不够了解街区特色 / 首次听说,同意,61.242.135.21(湖北-武汉),便宜一点
36,balanced_v20260221,0,1,1,0,0,0,0,1,93.0,否,(跳过),不够了解街区特色 / 首次听说┋距离较远、交通不便,完全同意,36.59.16.181(安徽-合肥),无
38,balanced_v20260221,0,1,1,0,0,0,0,1,199.0,否,(跳过),不够了解街区特色 / 首次听说,同意,111.181.86.113(湖北-武汉),价格亲民一点
41,balanced_v20260221,1,1,1,0,0,1,0,1,87.0,否,(跳过),消费预算考虑,同意,111.183.131.76(湖北-武汉),好
43,balanced_v20260221,1,1,1,0,0,0,0,1,89.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,211.90.248.42(浙江-金华),无
44,balanced_v20260221,0,1,1,0,0,0,0,1,138.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,117.162.169.115(江西-抚州),无
45,balanced_v20260221,0,1,1,0,0,0,0,1,207.0,否,(跳过),不够了解街区特色 / 首次听说┋消费预算考虑┋担心体验感不佳（如项目单一、服务差等）,同意,223.104.155.180(江苏-南京),无
46,balanced_v20260221,0,1,1,0,0,0,0,1,138.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,117.151.144.25(湖北-荆州),无
47,balanced_v20260221,0,1,1,0,0,1,0,1,297.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大┋距离较远、交通不便┋没有合适的时间┋认为街区缺乏吸引力┋消费预算考虑┋已有替代目的地┋担心体验感不佳（如项目单一、服务差等）,完全同意,117.151.44.133(湖北-武汉),行
48,balanced_v20260221,0,1,1,0,0,0,0,1,97.0,否,(跳过),不够了解街区特色 / 首次听说,同意,117.179.6.70(黑龙江-哈尔滨),无
