col_idx,var_code,item_text,question_block,item_type,model_use,missing_rule
1,C001,1. 您的性别是?（单选）,基础特征与认知,单选,描述统计；交叉分析,空值/异常编码记缺失
2,C002,2. 您的年龄段是?（单选）,基础特征与认知,单选,描述统计；交叉分析,空值/异常编码记缺失
3,C003,3. 您的教育程度是?（单选）,基础特征与认知,单选,描述统计；交叉分析,空值/异常编码记缺失
4,C004,4. 您的职业是?（单选）,基础特征与认知,单选,描述统计；交叉分析,空值/异常编码记缺失
5,C005,5. 您的月收入范围是?（单选）,基础特征与认知,单选,描述统计；交叉分析,空值/异常编码记缺失
6,C006,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,基础特征与认知,单选,描述统计；交叉分析,空值/异常编码记缺失
7,C007,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,基础特征与认知,单选,描述统计；交叉分析,空值/异常编码记缺失
8,C008,8. 您是否听说或到访过武汉“叶开泰中医药文化街区” ?（单选）,基础特征与认知,单选,描述统计；交叉分析,空值/异常编码记缺失
9,C009,社交媒体（抖音、小红书、微信、微博等）,知晓渠道（多选）,多选/二元,描述统计,空值/异常编码记缺失
10,C010,旅游平台（携程、美团等）,知晓渠道（多选）,多选/二元,描述统计,空值/异常编码记缺失
11,C011,亲友/同事推荐,知晓渠道（多选）,多选/二元,描述统计,空值/异常编码记缺失
12,C012,线下门店/街区路过发现,知晓渠道（多选）,多选/二元,描述统计,空值/异常编码记缺失
13,C013,新闻/公众号推文,知晓渠道（多选）,多选/二元,描述统计,空值/异常编码记缺失
14,C014,电视/广播,知晓渠道（多选）,多选/二元,描述统计,空值/异常编码记缺失
15,C015,其他,知晓渠道（多选）,多选/二元,描述统计,空值/异常编码记缺失
16,C016,了解中医药文化、学习相关知识,到访动机（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
17,C017,体验中医药非遗项目,到访动机（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
18,C018,打卡休闲、品尝特色美食 / 养生茶饮,到访动机（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
