col_idx,item_text,selected_count,valid_n,selected_pct
9,社交媒体（抖音、小红书、微信、微博等）,188,961,19.562955254942768
10,旅游平台（携程、美团等）,302,961,31.425598335067637
11,亲友/同事推荐,259,961,26.95109261186264
12,线下门店/街区路过发现,281,961,29.240374609781476
13,新闻/公众号推文,130,961,13.52757544224766
14,电视/广播,106,961,11.030176899063475
15,其他,61,961,6.347554630593132
16,了解中医药文化、学习相关知识,238,961,24.765868886576484
17,体验中医药非遗项目,529,961,55.0468262226847
18,打卡休闲、品尝特色美食 / 养生茶饮,758,961,78.87617065556712
19,购买中医药文创、保健品及药食同源产品,469,961,48.80332986472425
20,慕名而来（叶开泰品牌吸引力）,542,961,56.39958376690947
21,体验中医健康调理服务,364,961,37.87721123829344
22,陪同家人 / 朋友,457,961,47.55463059313215
23,其他,50,961,5.202913631633715
26,中医药诊疗/理疗服务,382,961,39.75026014568158
27,中医药文化参观/研学,647,961,67.32570239334026
28,药膳/养生餐体验,472,961,49.115504682622266
29,药食同源产品购买（如黑芝麻丸、养生茶饮等）,346,961,36.00416233090531
30,中药材/文创产品购买,206,961,21.436004162330907
31,主题活动/课程参与（如八段锦、太极拳、香囊制作等）,440,961,45.78563995837669
32,其他,46,961,4.786680541103018
33,无（未遇到任何问题）,185,674,27.448071216617212
34,非遗体验项目排队时间过长、体验感不佳,177,674,26.26112759643917
35,工作人员专业度不足（不熟悉中医药知识、服务态度一般）,352,674,52.225519287833826
36,配套设施不完善（休息区少、卫生间不便、停车位不足等）,454,674,67.35905044510386
37,中医药文化展示/讲解不够详细、缺乏吸引力,266,674,39.46587537091988
38,美食/文创/保健品价格偏高、品质不符预期,364,674,54.00593471810089
39,街区环境整洁度不足、卫生状况有待改善,238,674,35.311572700296736
40,指示标识不清晰（找不到景点、体验区等）,411,674,60.97922848664688
41,交通不便,100,674,14.836795252225519
42,其他,20,674,2.9673590504451037
43,不够了解街区特色 / 首次听说,123,287,42.857142857142854
44,对中医药文化、非遗项目兴趣不大,138,287,48.08362369337979
45,距离较远、交通不便,57,287,19.860627177700348
46,没有合适的时间,80,287,27.874564459930312
47,认为街区缺乏吸引力,91,287,31.70731707317073
48,消费预算考虑,77,287,26.829268292682926
49,已有替代目的地,49,287,17.073170731707318
50,担心体验感不佳（如项目单一、服务差等）,15,287,5.2264808362369335
51,其他,5,287,1.7421602787456445
92,中医药主题沉浸式研学营,353,961,36.732570239334024
93,时令节气养生体验活动,415,961,43.18418314255983
94,非遗中药炮制技艺体验课,502,961,52.2372528616025
95,药膳食疗定制服务,673,961,70.0312174817898
96,中医药健康管理私人顾问,351,961,36.524453694068676
97,中医药科普互动课堂（如药材辨识、养生讲座）,342,961,35.587929240374606
98,传统功法体验（如八段锦、太极拳深度学习）,284,961,29.5525494276795
99,中医药主题文化节、展演活动,515,961,53.590010405827265
100,其他,20,961,2.0811654526534857
101,产品/服务折扣券,512,961,53.27783558792924
102,餐饮套餐优惠,434,961,45.16129032258065
103,会员积分 / 储值福利,375,961,39.02185223725286
104,节假日限定活动,305,961,31.737773152965662
105,联名周边 / 伴手礼赠送,189,961,19.667013527575442
106,团购 / 家庭套票,667,961,69.40686784599376
107,其他,43,961,4.474505723204995
