col_idx,item_text,code,count,pct
1,1. 您的性别是?（单选）,1,420,51.66051660516605
1,1. 您的性别是?（单选）,2,393,48.33948339483395
2,2. 您的年龄段是?（单选）,1,36,4.428044280442805
2,2. 您的年龄段是?（单选）,2,232,28.53628536285363
2,2. 您的年龄段是?（单选）,3,312,38.37638376383764
2,2. 您的年龄段是?（单选）,4,152,18.696186961869618
2,2. 您的年龄段是?（单选）,5,81,9.96309963099631
3,3. 您的教育程度是?（单选）,1,69,8.487084870848708
3,3. 您的教育程度是?（单选）,2,95,11.685116851168512
3,3. 您的教育程度是?（单选）,3,203,24.969249692496923
3,3. 您的教育程度是?（单选）,4,285,35.055350553505534
3,3. 您的教育程度是?（单选）,5,161,19.80319803198032
4,4. 您的职业是?（单选）,2,335,41.20541205412054
4,4. 您的职业是?（单选）,3,82,10.08610086100861
4,4. 您的职业是?（单选）,4,156,19.18819188191882
4,4. 您的职业是?（单选）,5,111,13.653136531365314
4,4. 您的职业是?（单选）,6,89,10.947109471094711
4,4. 您的职业是?（单选）,8,40,4.920049200492005
5,5. 您的月收入范围是?（单选）,1,86,10.578105781057811
5,5. 您的月收入范围是?（单选）,2,230,28.290282902829027
5,5. 您的月收入范围是?（单选）,3,309,38.00738007380074
5,5. 您的月收入范围是?（单选）,4,151,18.57318573185732
5,5. 您的月收入范围是?（单选）,5,37,4.551045510455104
6,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,1,332,40.83640836408364
6,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,2,257,31.61131611316113
6,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,3,196,24.108241082410824
6,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,4,28,3.4440344403444034
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,1,152,18.696186961869618
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,2,232,28.53628536285363
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,3,312,38.37638376383764
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,4,79,9.71709717097171
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,5,38,4.674046740467404
8,8. 您是否听说或到访过武汉“叶开泰中医药文化街区” ?（单选）,1,647,79.58179581795818
8,8. 您是否听说或到访过武汉“叶开泰中医药文化街区” ?（单选）,2,166,20.41820418204182
24,11. 您在街区的停留时长大约是?（单选）,1,153,18.819188191881917
24,11. 您在街区的停留时长大约是?（单选）,2,234,28.782287822878228
24,11. 您在街区的停留时长大约是?（单选）,3,314,38.622386223862236
24,11. 您在街区的停留时长大约是?（单选）,4,112,13.776137761377614
25,12. 您本次在街区的消费金额大约是?（单选）,1,139,17.097170971709716
25,12. 您本次在街区的消费金额大约是?（单选）,2,213,26.199261992619927
25,12. 您本次在街区的消费金额大约是?（单选）,3,286,35.17835178351783
25,12. 您本次在街区的消费金额大约是?（单选）,4,99,12.177121771217712
25,12. 您本次在街区的消费金额大约是?（单选）,5,76,9.348093480934809
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,1,229,28.167281672816728
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,2,297,36.53136531365314
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,3,171,21.03321033210332
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,4,64,7.872078720787208
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,5,52,6.396063960639607
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,1,256,31.48831488314883
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,2,244,30.01230012300123
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,3,204,25.092250922509226
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,4,56,6.888068880688807
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,5,53,6.519065190651906
