location,item,reason,required_source
table1_r2_c2,预调查信度-文化体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r2_c3,预调查信度-文化体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r2_c4,预调查信度-文化体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r3_c2,预调查信度-非遗体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r3_c3,预调查信度-非遗体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r3_c4,预调查信度-非遗体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r4_c2,预调查信度-产品体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r4_c3,预调查信度-产品体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r4_c4,预调查信度-产品体验维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r5_c2,预调查信度-配套保障维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r5_c3,预调查信度-配套保障维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r5_c4,预调查信度-配套保障维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r6_c2,预调查信度-宣传策略维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r6_c3,预调查信度-宣传策略维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r6_c4,预调查信度-宣传策略维度,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r7_c2,预调查信度-整体量表,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r7_c3,预调查信度-整体量表,缺少预调查原始数据/结果表,预调查样本与信效度输出
table1_r7_c4,预调查信度-整体量表,缺少预调查原始数据/结果表,预调查样本与信效度输出
table2_r2_c2,预调查效度-KMO,缺少预调查原始数据/结果表,预调查KMO/Bartlett结果
table2_r3_c2,预调查效度-Bartlett球形检验近似卡方,缺少预调查原始数据/结果表,预调查KMO/Bartlett结果
table2_r4_c2,预调查效度-自由度df,缺少预调查原始数据/结果表,预调查KMO/Bartlett结果
table2_r5_c2,预调查效度-显著性p,缺少预调查原始数据/结果表,预调查KMO/Bartlett结果
paragraph_pretest_recovery,预调查线上份数/线下份数/回收份数/有效份数/有效回收率,缺少预调查原始数据,预调查回收台账/原始问卷
