col_idx,item_text,selected_count,valid_n,selected_pct
9,社交媒体（抖音、小红书、微信、微博等）,132,861,15.331010452961673
10,旅游平台（携程、美团等）,283,861,32.868757259001164
11,亲友/同事推荐,232,861,26.94541231126597
12,线下门店/街区路过发现,266,861,30.89430894308943
13,新闻/公众号推文,113,861,13.124274099883856
14,电视/广播,93,861,10.801393728222996
15,其他,38,861,4.413472706155633
16,了解中医药文化、学习相关知识,194,861,22.531939605110338
17,体验中医药非遗项目,501,861,58.18815331010453
18,打卡休闲、品尝特色美食 / 养生茶饮,726,861,84.3205574912892
19,购买中医药文创、保健品及药食同源产品,449,861,52.148664343786294
20,慕名而来（叶开泰品牌吸引力）,531,861,61.67247386759582
21,体验中医健康调理服务,346,861,40.18583042973287
22,陪同家人 / 朋友,437,861,50.75493612078978
23,其他,36,861,4.181184668989547
26,中医药诊疗/理疗服务,336,861,39.02439024390244
27,中医药文化参观/研学,613,861,71.19628339140534
28,药膳/养生餐体验,446,861,51.800232288037165
29,药食同源产品购买（如黑芝麻丸、养生茶饮等）,328,861,38.095238095238095
30,中药材/文创产品购买,194,861,22.531939605110338
31,主题活动/课程参与（如八段锦、太极拳、香囊制作等）,429,861,49.825783972125436
32,其他,29,861,3.368176538908246
33,无（未遇到任何问题）,172,657,26.179604261796044
34,非遗体验项目排队时间过长、体验感不佳,175,657,26.636225266362253
35,工作人员专业度不足（不熟悉中医药知识、服务态度一般）,349,657,53.12024353120243
36,配套设施不完善（休息区少、卫生间不便、停车位不足等）,453,657,68.94977168949772
37,中医药文化展示/讲解不够详细、缺乏吸引力,266,657,40.48706240487063
38,美食/文创/保健品价格偏高、品质不符预期,363,657,55.25114155251141
39,街区环境整洁度不足、卫生状况有待改善,237,657,36.073059360730596
40,指示标识不清晰（找不到景点、体验区等）,410,657,62.404870624048705
41,交通不便,100,657,15.220700152207002
42,其他,19,657,2.8919330289193304
43,不够了解街区特色 / 首次听说,59,204,28.92156862745098
44,对中医药文化、非遗项目兴趣不大,118,204,57.84313725490196
45,距离较远、交通不便,36,204,17.647058823529413
46,没有合适的时间,62,204,30.392156862745097
47,认为街区缺乏吸引力,82,204,40.19607843137255
48,消费预算考虑,68,204,33.333333333333336
49,已有替代目的地,44,204,21.568627450980394
50,担心体验感不佳（如项目单一、服务差等）,10,204,4.901960784313726
51,其他,2,204,0.9803921568627451
92,中医药主题沉浸式研学营,309,861,35.88850174216028
93,时令节气养生体验活动,363,861,42.1602787456446
94,非遗中药炮制技艺体验课,465,861,54.00696864111498
95,药膳食疗定制服务,632,861,73.40301974448316
96,中医药健康管理私人顾问,326,861,37.86295005807201
97,中医药科普互动课堂（如药材辨识、养生讲座）,325,861,37.746806039488966
98,传统功法体验（如八段锦、太极拳深度学习）,265,861,30.778164924506388
99,中医药主题文化节、展演活动,499,861,57.955865272938446
100,其他,18,861,2.0905923344947737
101,产品/服务折扣券,462,861,53.65853658536585
102,餐饮套餐优惠,380,861,44.13472706155633
103,会员积分 / 储值福利,345,861,40.069686411149824
104,节假日限定活动,274,861,31.823461091753774
105,联名周边 / 伴手礼赠送,155,861,18.00232288037166
106,团购 / 家庭套票,637,861,73.98373983739837
107,其他,41,861,4.761904761904762
