item_no,importance_col,performance_col,item_text,importance_mean,performance_mean,gap_perf_minus_imp,quadrant
1,66,76,①丰富的中医药文化展示和非遗体验项目,3.7637877211238293,3.739854318418314,-0.02393340270551514,Q1_保持优势
2,67,77,②环境舒适度与卫生状况,3.761706555671176,3.695109261186264,-0.0665972944849118,Q2_优先改进
3,68,78,③便捷的交通、充足的停车位,3.732570239334027,3.6659729448491154,-0.0665972944849118,Q3_低优先级
4,69,79,④亲友推荐/正面评价多,3.705515088449532,3.716961498439126,0.01144640998959412,Q4_可能过度投入
5,70,80,⑤特色美食、文创产品的种类及品质,3.7513007284079083,3.6045785639958376,-0.14672216441207064,Q3_低优先级
6,71,81,⑥提供个性化中医体质辨识、养生咨询等服务,3.7710718002081167,3.7221644120707595,-0.04890738813735718,Q1_保持优势
7,72,82,⑦服务专业度与态度,3.8397502601456814,3.7356919875130075,-0.10405827263267398,Q1_保持优势
8,73,83,⑧产品价格与优惠力度,3.739854318418314,3.7023933402705516,-0.037460978147762614,Q3_低优先级
9,74,84,⑨中医药服务专业度,3.793964620187305,3.7117585848074923,-0.08220603537981264,Q1_保持优势
10,75,85,⑩线上线下宣传推广,3.693028095733611,3.745057232049948,0.05202913631633699,Q4_可能过度投入
