col_idx,item_text,selected_count,valid_n,selected_pct
9,社交媒体（抖音、小红书、微信、微博等）,104,813,12.792127921279214
10,旅游平台（携程、美团等）,278,813,34.19434194341943
11,亲友/同事推荐,218,813,26.814268142681428
12,线下门店/街区路过发现,252,813,30.99630996309963
13,新闻/公众号推文,103,813,12.669126691266912
14,电视/广播,90,813,11.07011070110701
15,其他,34,813,4.182041820418204
16,了解中医药文化、学习相关知识,171,813,21.03321033210332
17,体验中医药非遗项目,482,813,59.28659286592866
18,打卡休闲、品尝特色美食 / 养生茶饮,704,813,86.5928659286593
19,购买中医药文创、保健品及药食同源产品,441,813,54.24354243542435
20,慕名而来（叶开泰品牌吸引力）,523,813,64.32964329643296
21,体验中医健康调理服务,334,813,41.082410824108244
22,陪同家人 / 朋友,420,813,51.66051660516605
23,其他,34,813,4.182041820418204
26,中医药诊疗/理疗服务,316,813,38.86838868388684
27,中医药文化参观/研学,594,813,73.06273062730628
28,药膳/养生餐体验,429,813,52.76752767527675
29,药食同源产品购买（如黑芝麻丸、养生茶饮等）,310,813,38.13038130381304
30,中药材/文创产品购买,182,813,22.386223862238623
31,主题活动/课程参与（如八段锦、太极拳、香囊制作等）,420,813,51.66051660516605
32,其他,25,813,3.075030750307503
33,无（未遇到任何问题）,165,647,25.502318392581145
34,非遗体验项目排队时间过长、体验感不佳,173,647,26.738794435857805
35,工作人员专业度不足（不熟悉中医药知识、服务态度一般）,348,647,53.78670788253478
36,配套设施不完善（休息区少、卫生间不便、停车位不足等）,452,647,69.86089644513137
37,中医药文化展示/讲解不够详细、缺乏吸引力,265,647,40.958268933539415
38,美食/文创/保健品价格偏高、品质不符预期,363,647,56.10510046367852
39,街区环境整洁度不足、卫生状况有待改善,237,647,36.6306027820711
40,指示标识不清晰（找不到景点、体验区等）,410,647,63.3693972179289
41,交通不便,100,647,15.45595054095827
42,其他,19,647,2.936630602782071
43,不够了解街区特色 / 首次听说,33,166,19.879518072289155
44,对中医药文化、非遗项目兴趣不大,108,166,65.06024096385542
45,距离较远、交通不便,24,166,14.457831325301205
46,没有合适的时间,53,166,31.927710843373493
47,认为街区缺乏吸引力,76,166,45.78313253012048
48,消费预算考虑,64,166,38.55421686746988
49,已有替代目的地,44,166,26.50602409638554
50,担心体验感不佳（如项目单一、服务差等）,4,166,2.4096385542168677
51,其他,1,166,0.6024096385542169
92,中医药主题沉浸式研学营,291,813,35.79335793357934
93,时令节气养生体验活动,334,813,41.082410824108244
94,非遗中药炮制技艺体验课,441,813,54.24354243542435
95,药膳食疗定制服务,607,813,74.66174661746618
96,中医药健康管理私人顾问,308,813,37.88437884378844
97,中医药科普互动课堂（如药材辨识、养生讲座）,308,813,37.88437884378844
98,传统功法体验（如八段锦、太极拳深度学习）,252,813,30.99630996309963
99,中医药主题文化节、展演活动,486,813,59.77859778597786
100,其他,17,813,2.091020910209102
101,产品/服务折扣券,431,813,53.01353013530135
102,餐饮套餐优惠,347,813,42.68142681426814
103,会员积分 / 储值福利,342,813,42.06642066420664
104,节假日限定活动,256,813,31.48831488314883
105,联名周边 / 伴手礼赠送,125,813,15.375153751537516
106,团购 / 家庭套票,621,813,76.38376383763837
107,其他,41,813,5.043050430504305
