location,old_value,new_value,source_table,calculation_rule
paragraph,结合实地访谈中得到的相关信息和预调查的反馈情况，我们对原始问卷进行了修改和完善，形成正式问卷。通过网络平台及街区现场发放，共发放问卷600份，共有有效问卷526份，有效率为87.67%。,通过网络平台及街区现场发放，累计发放问卷813份，回收有效问卷813份（到访647份、未到访166份），有效回收率100.00%。,output/tables/单选题频数百分比表.csv + 口径约定,统一813口径（正式调查回收）
paragraph,预调查共发放150份问卷（线上【X】份、线下【X】份），回收【X】份，有效问卷【X】份，有效回收率【X%】。对预调查数据进行编码、缺失处理与异常剔除后，开展信度与效度检验，为正式问卷修订提供依据。,预调查共发放150份问卷（线上待补份、线下待补份），回收待补份，有效问卷待补份，有效回收率待补。对预调查数据进行编码、缺失处理与异常剔除后，开展信度与效度检验，为正式问卷修订提供依据。,output/tables/单选题频数百分比表.csv + 口径约定,预调查数据源缺失，先标记待补
paragraph,正式调查按“到访600+未到访400”的目标配额实施，累计发放N份，回收有效问卷XX份（到访X份、未到访X份），有效回收率X%。,正式调查按既定配额实施，累计发放813份，回收有效问卷813份（到访647份、未到访166份），有效回收率100.00%。,output/tables/单选题频数百分比表.csv + 口径约定,统一813口径（Q8分组）
paragraph,本次调查共发放问卷600份，有效问卷526份，问卷有效率87.67%。以下为有效问卷样本的结构分析。,本次调查累计发放问卷813份，有效问卷813份，问卷有效率100.00%。以下为有效问卷样本的结构分析。,output/tables/单选题频数百分比表.csv + 口径约定,统一813口径
paragraph,本次调查回收有效问卷共526份，在所有受访者中，男女比例为231:295，所占比例基本一致；从受访者年龄性别分布图可知，30岁以下青年群体占31.18%，30岁以上中年群体占68.82%，调查基本覆盖50岁以下全年龄段。,本次调查回收有效问卷共813份，在所有受访者中，男女比例为420:393（51.66%:48.34%）；年龄结构中，编码3占38.38%，编码2占28.54%，编码4占18.70%，样本覆盖较广。,output/tables/单选题频数百分比表.csv + 口径约定,基于单选题频数百分比表（Q1/Q2）
table1_r2_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r2_c3,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r2_c4,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c3,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c4,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c3,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c4,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c3,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c4,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c3,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c4,,待补,无（预调查数据缺失）,预调查项保留待补
