col_idx,item_text,selected_count,valid_n,selected_pct
9,社交媒体（抖音、小红书、微信、微博等）,143,880,16.25
10,旅游平台（携程、美团等）,287,880,32.61363636363637
11,亲友/同事推荐,237,880,26.931818181818183
12,线下门店/街区路过发现,269,880,30.568181818181817
13,新闻/公众号推文,118,880,13.409090909090908
14,电视/广播,95,880,10.795454545454545
15,其他,42,880,4.7727272727272725
16,了解中医药文化、学习相关知识,203,880,23.068181818181817
17,体验中医药非遗项目,507,880,57.61363636363637
18,打卡休闲、品尝特色美食 / 养生茶饮,731,880,83.06818181818181
19,购买中医药文创、保健品及药食同源产品,453,880,51.47727272727273
20,慕名而来（叶开泰品牌吸引力）,531,880,60.34090909090909
21,体验中医健康调理服务,353,880,40.11363636363637
22,陪同家人 / 朋友,441,880,50.11363636363637
23,其他,38,880,4.318181818181818
26,中医药诊疗/理疗服务,346,880,39.31818181818182
27,中医药文化参观/研学,614,880,69.77272727272727
28,药膳/养生餐体验,451,880,51.25
29,药食同源产品购买（如黑芝麻丸、养生茶饮等）,332,880,37.72727272727273
30,中药材/文创产品购买,197,880,22.386363636363637
31,主题活动/课程参与（如八段锦、太极拳、香囊制作等）,430,880,48.86363636363637
32,其他,32,880,3.6363636363636362
33,无（未遇到任何问题）,174,661,26.32375189107413
34,非遗体验项目排队时间过长、体验感不佳,175,661,26.4750378214826
35,工作人员专业度不足（不熟悉中医药知识、服务态度一般）,351,661,53.10136157337367
36,配套设施不完善（休息区少、卫生间不便、停车位不足等）,454,661,68.68381240544629
37,中医药文化展示/讲解不够详细、缺乏吸引力,266,661,40.24205748865356
38,美食/文创/保健品价格偏高、品质不符预期,364,661,55.06807866868381
39,街区环境整洁度不足、卫生状况有待改善,238,661,36.006051437216335
40,指示标识不清晰（找不到景点、体验区等）,411,661,62.178517397882
41,交通不便,100,661,15.128593040847202
42,其他,19,661,2.8744326777609683
43,不够了解街区特色 / 首次听说,74,219,33.789954337899545
44,对中医药文化、非遗项目兴趣不大,119,219,54.337899543378995
45,距离较远、交通不便,40,219,18.264840182648403
46,没有合适的时间,66,219,30.136986301369863
47,认为街区缺乏吸引力,84,219,38.35616438356164
48,消费预算考虑,69,219,31.506849315068493
49,已有替代目的地,44,219,20.091324200913242
50,担心体验感不佳（如项目单一、服务差等）,11,219,5.0228310502283104
51,其他,3,219,1.36986301369863
92,中医药主题沉浸式研学营,317,880,36.02272727272727
93,时令节气养生体验活动,373,880,42.38636363636363
94,非遗中药炮制技艺体验课,471,880,53.52272727272727
95,药膳食疗定制服务,642,880,72.95454545454545
96,中医药健康管理私人顾问,335,880,38.06818181818182
97,中医药科普互动课堂（如药材辨识、养生讲座）,329,880,37.38636363636363
98,传统功法体验（如八段锦、太极拳深度学习）,273,880,31.022727272727273
99,中医药主题文化节、展演活动,503,880,57.15909090909091
100,其他,19,880,2.159090909090909
101,产品/服务折扣券,474,880,53.86363636363637
102,餐饮套餐优惠,390,880,44.31818181818182
103,会员积分 / 储值福利,352,880,40.0
104,节假日限定活动,281,880,31.931818181818183
105,联名周边 / 伴手礼赠送,163,880,18.522727272727273
106,团购 / 家庭套票,642,880,72.95454545454545
107,其他,42,880,4.7727272727272725
