para_no,requirement_type,tag,text
58,table,表6-1,表6-1  双口径模型拟合指标对比
95,table,表7-1,表7-1  两类游客画像关键特征对比
121,table,表7-2,表7-2  分层运营落地矩阵
143,table,表7-3,表7-3  研究假设汇总（H1–H8）
174,table,表7-4,表7-4  SEM模型拟合指标
189,table,表7-5,表7-5  SEM路径系数与显著性
254,table,表7-6,表7-6  IPA四象限归属汇总（均值阈值）
278,table,表7-7,表7-7  IPA整改行动清单
312,table,表7-8,表7-8  游客意见三维汇总
330,placeholder,待补/待填,7.4.3  专家访谈意见（待补）
332,table,表7-9,表7-9  专家意见整合框架（待补）
332,placeholder,待补/待填,表7-9  专家意见整合框架（待补）
337,placeholder,待补/待填,受访专家：【待补】（机构/职称）；访谈时间：【待补】；形式：半结构化深度访谈
340,placeholder,待补/待填,专家指出【待补】是叶开泰当前高质量发展的关键约束
341,placeholder,待补/待填,对应IPA Q2象限/SEM路径H_【待补】
343,placeholder,待补/待填,专家从【待补】角度阐释了【待补】现象的形成机制，与统计结果形成印证
346,placeholder,待补/待填,专家建议优先推进：①【待补】；②【待补】；③【待补】
349,table,表7-10,表7-10  问题-证据-建议闭环汇总表
358,placeholder,待补/待填,【待补】
363,placeholder,待补/待填,【待补】
368,placeholder,待补/待填,【待补】
373,placeholder,待补/待填,【待补】
