english_field,chinese_label,business_meaning,model_scope
Q2_age_code,年龄段（Q2编码）,受访者年龄序位编码,Logit
Q6_habit_code,中医药消费习惯（Q6编码）,是否有中医药相关消费习惯,Logit
Q7_knowledge_code,融合模式了解程度（Q7编码）,对中医药+文旅了解程度,Logit
Q8_visit_status_code,街区认知/到访状态（Q8编码）,是否听说或到访叶开泰街区,Logit
perception_mean,感知评价均值,"感知维度（52-63,65）平均得分",Logit/聚类
importance_mean,重要度均值,重要度维度（66-75）平均得分,IPA/聚类
performance_mean,表现度均值,表现维度（76-85）平均得分,IPA/Logit/聚类
cognition_mean,文化认知均值,认知维度（86-89）平均得分,Logit/聚类
motive_count,到访动机数量,到访动机多选项勾选总数（16-23）,Logit/聚类
new_project_pref_count,新增项目偏好数量,新增项目偏好多选勾选总数（92-100）,聚类
promo_pref_count,优惠活动偏好数量,优惠活动偏好多选勾选总数（101-107）,聚类
