location,old_value,new_value,source,rule
表6-1_r1_c2,主样本（n=880）,主样本（n=861）,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r2_c2,0.733,0.728,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r2_c3,0.840,0.821,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r3_c2,0.560,0.554,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r3_c3,0.806,0.796,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r3_c4,区分能力（>0.7合格）,区分能力,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r4_c2,0.008,0.004,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r4_c3,0.195,0.197,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r5_c1,主效应整体显著性,主效应整体显著性（参考Q8）,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r5_c2,p>0.05（不显著）,p=0.5138（不显著）,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r5_c3,Q8到访状态 p=0.028,p=0.0155（显著）,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表6-1_r5_c4,需分别解读,按Q8到访状态项对照,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表6-1_双口径模型拟合指标对比.csv,table_text_replace
表7-1_r1_c2,C1 价格优惠敏感型（n=375，42.61%）,C1 价格优惠敏感型（n=320，37.17%）,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r1_c3,C2 文化深度体验型（n=505，57.39%）,C2 文化深度体验型（n=541，62.83%）,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r2_c2,3.815,3.791,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r2_c3,3.732,3.719,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r3_c2,3.796,3.780,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r3_c3,3.640,3.636,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r4_c2,3.717,3.689,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r4_c3,3.700,3.698,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r5_c2,2.696（偏高）,2.691,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r5_c3,2.640,2.649,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r6_c2,3.427,3.519,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-1_r6_c3,3.905（偏高）,3.871,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-1_两类游客画像关键特征对比.csv,table_text_replace
表7-2_r3_c2,团购/家庭套票、产品/服务折扣券（优先投放）,团购 / 家庭套票、产品/服务折扣券（优先投放）,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-2_分层运营落地矩阵.csv,table_text_replace
表7-3_r1_c1,假设,假设编号,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r1_c2,内容,研究假设,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r1_c3,对应路径,变量,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r2_c2,环境氛围体验正向影响文化认知,年龄结构会影响深入游览行为,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r2_c3,S_environment → O_cognition,Q2_age_code,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r3_c2,服务质量体验正向影响文化认知,中医药消费习惯越强，深入游览概率越高,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r3_c3,S_service → O_cognition,Q6_habit_code,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r4_c2,活动内容体验正向影响文化认知,融合模式认知越高，深入游览概率越高,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r4_c3,S_activity → O_cognition,Q7_knowledge_code/cognition_mean,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r5_c2,文化认知正向影响游览意愿,到访状态与深入游览显著相关,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r5_c3,O_cognition → R_visit,Q8_visit_status_code,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r6_c2,文化认知正向影响推荐意愿,整体感知评价越高，深入游览概率越高,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
表7-3_r6_c3,O_cognition → R_recommend,perception_mean,C:/Users/TSOU/Desktop/questionare/data/data_analysis/tables/表7-3_研究假设汇总_H1-H8.csv,table_text_replace
