item_no,importance_col,performance_col,item_text,importance_mean,performance_mean,gap_perf_minus_imp,quadrant
1,66,76,①丰富的中医药文化展示和非遗体验项目,3.7560975609756095,3.718931475029036,-0.037166085946573446,Q1_优势区
2,67,77,②环境舒适度与卫生状况,3.7409988385598143,3.6666666666666665,-0.07433217189314778,Q3_机会区
3,68,78,③便捷的交通、充足的停车位,3.722415795586527,3.6515679442508713,-0.07084785133565585,Q3_机会区
4,69,79,④亲友推荐/正面评价多,3.6887340301974447,3.708478513356562,0.019744483159117365,Q2_维持区
5,70,80,⑤特色美食、文创产品的种类及品质,3.7398373983739837,3.5900116144018583,-0.14982578397212531,Q3_机会区
6,71,81,⑥提供个性化中医体质辨识、养生咨询等服务,3.7642276422764227,3.7096399535423927,-0.05458768873402997,Q1_优势区
7,72,82,⑦服务专业度与态度,3.826945412311266,3.722415795586527,-0.1045296167247387,Q1_优势区
8,73,83,⑧产品价格与优惠力度,3.7340301974448318,3.6933797909407664,-0.04065040650406537,Q2_维持区
9,74,84,⑨中医药服务专业度,3.7932636469221834,3.6957026713124272,-0.09756097560975618,Q1_优势区
10,75,85,⑩线上线下宣传推广,3.6887340301974447,3.7398373983739837,0.05110336817653893,Q2_维持区
